TIMESTAMP,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg
2017-04-04 09:00:00,8.86,301.0,16.88,15.69,46.96,29.02
2017-04-04 10:00:00,7.528,290.4,14.44,12.43,46.28,29.06
2017-04-04 11:00:00,4.541,317.8,39.34,12.46,47.27,29.1
2017-04-04 12:00:00,6.029,9.7,20.63,13.76,46.47,29.13
2017-04-04 13:00:00,6.733,10.19,21.75,12.53,47.55,29.16
2017-04-04 14:00:00,6.71,40.17,20.03,12.57,49.26,29.17
2017-04-04 15:00:00,6.263,71.07,22.34,13.41,49.2,29.19
2017-04-04 16:00:00,6.622999999999999,47.17,21.78,14.77,47.11,29.22
2017-04-04 17:00:00,5.292999999999999,63.61,18.33,9.24,46.99,29.23
2017-04-04 18:00:00,3.795,89.3,26.68,8.22,46.32,29.26
2017-04-04 19:00:00,2.533,180.0,33.0,5.136,47.23,29.29
2017-04-04 20:00:00,1.646,84.3,24.53,3.069,46.86,29.3
2017-04-04 21:00:00,1.7730000000000001,98.3,15.3,3.805,43.93,29.29
2017-04-04 22:00:00,2.051,91.9,18.25,4.5760000000000005,43.44,29.28
2017-04-04 23:00:00,1.974,101.0,17.03,3.98,43.3,29.29
2017-04-05 00:00:00,3.432,78.84,13.01,6.468,44.81,29.29
2017-04-05 01:00:00,4.49,49.58,19.85,8.36,44.06,29.28
2017-04-05 02:00:00,4.256,64.57,27.6,10.43,43.73,29.29
2017-04-05 03:00:00,4.051,73.28,14.33,7.45,42.52,29.31
2017-04-05 04:00:00,6.482,56.11,18.81,13.79,41.37,29.28
2017-04-05 05:00:00,7.621,59.71,17.79,15.05,41.05,29.25
2017-04-05 06:00:00,8.77,56.63,16.32,17.89,41.44,29.23
2017-04-05 07:00:00,7.252000000000001,60.03,20.94,14.88,41.4,29.23
2017-04-05 08:00:00,7.662000000000001,65.81,17.09,13.2,40.71,29.22
2017-04-05 09:00:00,7.284,67.13,15.12,13.48,40.69,29.21
2017-04-05 10:00:00,10.58,53.1,17.19,22.73,41.57,29.15
2017-04-05 11:00:00,12.84,38.84,15.17,23.68,41.22,29.12
2017-04-05 12:00:00,14.9,36.23,14.18,27.43,41.21,29.09
2017-04-05 13:00:00,14.04,30.12,14.05,24.73,40.67,29.08
2017-04-05 14:00:00,16.07,31.71,14.37,27.04,40.67,29.05
2017-04-05 15:00:00,17.17,32.53,14.44,34.96,40.07,29.03
2017-04-05 16:00:00,17.44,29.72,14.5,32.61,39.8,29.02
2017-04-05 17:00:00,15.66,21.0,17.34,31.49,39.11,29.03
2017-04-05 18:00:00,17.66,23.1,15.92,34.54,39.12,29.02
2017-04-05 19:00:00,17.94,25.68,15.54,34.58,39.11,29.0
2017-04-05 20:00:00,16.42,23.63,16.43,31.0,39.3,29.01
2017-04-05 21:00:00,16.41,24.06,16.52,35.35,39.77,29.02
2017-04-05 22:00:00,18.61,26.16,15.8,34.23,39.13,29.01
2017-04-05 23:00:00,17.17,23.64,16.45,35.87,39.23,29.0
2017-04-06 00:00:00,14.89,12.21,20.24,31.25,38.97,29.01
2017-04-06 01:00:00,14.42,358.0,23.02,29.46,37.62,29.01
2017-04-06 02:00:00,15.72,353.7,23.26,36.05,38.29,29.0
2017-04-06 03:00:00,17.49,353.0,23.3,37.17,38.46,29.0
2017-04-06 04:00:00,17.38,345.5,22.96,35.07,37.67,29.02
2017-04-06 05:00:00,17.85,345.9,22.04,37.66,37.31,29.04
2017-04-06 06:00:00,16.51,346.1,22.98,34.4,38.7,29.07
2017-04-06 07:00:00,18.13,345.1,23.49,36.12,39.2,29.1
2017-04-06 08:00:00,17.36,343.2,24.51,36.22,40.32,29.11
2017-04-06 09:00:00,16.55,343.8,22.59,36.92,41.29,29.13
2017-04-06 10:00:00,17.82,343.6,23.17,41.9,41.16,29.16
2017-04-06 11:00:00,19.03,344.4,23.13,38.43,41.7,29.19
2017-04-06 12:00:00,15.91,343.4,23.86,33.21,42.67,29.2
2017-04-06 13:00:00,16.72,345.8,22.17,33.0,42.87,29.22
2017-04-06 14:00:00,14.47,354.4,25.01,29.35,43.02,29.24
2017-04-06 15:00:00,13.52,349.5,23.79,27.6,43.63,29.25
2017-04-06 16:00:00,12.86,352.6,24.32,25.22,43.21,29.26
2017-04-06 17:00:00,11.48,350.2,23.78,24.2,43.28,29.28
2017-04-06 18:00:00,9.9,354.2,23.73,22.66,41.83,29.3
2017-04-06 19:00:00,9.36,357.2,23.73,18.8,40.46,29.31
2017-04-06 20:00:00,9.03,358.3,22.42,20.84,39.79,29.34
2017-04-06 21:00:00,9.22,4.361000000000001,22.35,21.68,39.55,29.36
2017-04-06 22:00:00,9.01,1.7480000000000002,22.16,19.82,39.8,29.37
2017-04-06 23:00:00,8.19,356.6,23.84,18.59,39.82,29.38
2017-04-07 00:00:00,9.84,345.4,20.62,21.43,39.84,29.38
2017-04-07 01:00:00,10.75,337.6,24.79,24.45,40.9,29.38
2017-04-07 02:00:00,8.53,315.3,24.7,20.59,40.38,29.37
2017-04-07 03:00:00,8.17,309.4,20.23,15.55,39.19,29.38
2017-04-07 04:00:00,7.439,318.8,25.13,17.02,38.95,29.38
2017-04-07 05:00:00,8.15,323.8,26.55,19.96,39.13,29.39
2017-04-07 06:00:00,8.17,327.8,25.96,21.82,38.89,29.41
2017-04-07 07:00:00,9.95,327.1,26.2,23.12,39.87,29.43
2017-04-07 08:00:00,11.95,342.1,25.03,26.48,40.69,29.45
2017-04-07 09:00:00,12.96,345.3,24.39,28.27,40.82,29.46
2017-04-07 10:00:00,12.44,343.5,24.71,28.34,41.35,29.48
2017-04-07 11:00:00,12.43,347.5,23.63,26.44,42.47,29.48
2017-04-07 12:00:00,11.85,358.2,25.72,24.62,42.75,29.49
2017-04-07 13:00:00,11.34,355.5,25.32,22.76,43.69,29.49
2017-04-07 14:00:00,10.61,358.0,25.77,23.05,44.93,29.48
2017-04-07 15:00:00,10.65,11.38,23.29,18.45,46.14,29.47
2017-04-07 16:00:00,10.18,20.83,18.23,17.82,46.67,29.46
2017-04-07 17:00:00,8.47,31.54,18.68,15.65,45.51,29.46
2017-04-07 18:00:00,5.354,64.94,24.37,11.41,45.16,29.45
2017-04-07 19:00:00,2.588,100.8,34.88,7.029,42.56,29.44
2017-04-07 20:00:00,1.923,164.3,42.88,4.015,41.57,29.44
2017-04-07 21:00:00,3.043,199.6,12.05,5.171,41.07,29.44
2017-04-07 22:00:00,3.4619999999999997,187.1,11.92,5.978,41.26,29.43
2017-04-07 23:00:00,3.7119999999999997,194.4,13.76,6.819,41.41,29.42
2017-04-08 00:00:00,2.221,218.6,17.92,5.487,41.09,29.42
2017-04-08 01:00:00,3.3510000000000004,206.1,14.02,6.502999999999999,40.79,29.42
2017-04-08 02:00:00,4.104,202.5,12.1,8.08,41.17,29.41
2017-04-08 03:00:00,3.9410000000000003,207.1,12.76,8.4,40.51,29.41
2017-04-08 04:00:00,4.4510000000000005,202.2,14.82,8.85,40.36,29.41
2017-04-08 05:00:00,4.166,183.7,12.53,6.819,39.88,29.41
2017-04-08 06:00:00,4.379,182.6,13.72,7.94,39.91,29.42
2017-04-08 07:00:00,5.922000000000001,185.1,14.52,10.25,42.01,29.44
2017-04-08 08:00:00,6.718999999999999,190.8,15.97,12.74,46.56,29.43
2017-04-08 09:00:00,9.07,198.3,17.02,16.28,52.17,29.42
2017-04-08 10:00:00,10.72,208.2,21.83,19.89,55.74,29.4
2017-04-08 11:00:00,11.87,204.4,21.78,21.64,57.85,29.38
2017-04-08 12:00:00,11.59,197.6,20.11,22.45,61.06,29.35
2017-04-08 13:00:00,12.37,211.8,17.92,22.52,63.01,29.33
2017-04-08 14:00:00,12.3,193.3,19.4,22.48,65.07,29.31
2017-04-08 15:00:00,13.6,185.4,21.09,22.98,65.97,29.27
2017-04-08 16:00:00,13.78,182.1,17.49,25.25,66.73,29.25
2017-04-08 17:00:00,12.88,181.8,16.88,24.31,66.16,29.23
2017-04-08 18:00:00,12.23,179.1,16.98,25.11,64.99,29.22
2017-04-08 19:00:00,10.45,176.2,15.57,19.86,63.31,29.22
2017-04-08 20:00:00,9.43,172.6,14.67,17.3,61.19,29.23
2017-04-08 21:00:00,9.83,181.8,15.62,18.84,60.11,29.23
2017-04-08 22:00:00,10.85,194.7,16.28,21.5,58.88,29.23
2017-04-08 23:00:00,9.27,196.2,17.98,17.61,58.66,29.23
2017-04-09 00:00:00,10.45,193.6,16.08,19.96,58.38,29.23
2017-04-09 01:00:00,11.35,190.2,16.3,23.92,58.01,29.22
2017-04-09 02:00:00,10.66,192.2,15.23,22.73,58.37,29.2
2017-04-09 03:00:00,10.49,192.9,14.96,20.07,58.27,29.19
2017-04-09 04:00:00,10.31,199.4,14.72,21.22,57.48,29.19
2017-04-09 05:00:00,9.15,192.8,15.43,19.23,56.57,29.18
2017-04-09 06:00:00,8.69,196.5,15.99,16.95,56.41,29.18
2017-04-09 07:00:00,10.02,194.8,15.48,19.86,57.24,29.19
2017-04-09 08:00:00,11.46,201.3,18.36,23.64,59.81,29.19
2017-04-09 09:00:00,13.72,200.7,15.45,26.55,63.18,29.18
2017-04-09 10:00:00,12.37,199.8,16.86,25.92,65.41,29.17
2017-04-09 11:00:00,12.75,192.6,16.5,25.95,67.66,29.15
2017-04-09 12:00:00,13.01,193.8,16.79,23.54,70.25,29.13
2017-04-09 13:00:00,13.46,193.7,18.44,26.48,73.29,29.11
2017-04-09 14:00:00,14.48,198.2,17.18,28.93,75.09,29.09
2017-04-09 15:00:00,16.3,202.2,16.91,32.61,76.5,29.06
2017-04-09 16:00:00,17.05,189.5,16.29,32.26,75.42,29.04
2017-04-09 17:00:00,16.47,187.2,16.19,34.61,75.68,29.03
2017-04-09 18:00:00,16.03,190.5,16.22,33.84,74.28,29.03
2017-04-09 19:00:00,15.64,197.6,15.84,31.95,72.32,29.05
2017-04-09 20:00:00,13.21,200.1,14.86,26.06,70.3,29.07
2017-04-09 21:00:00,13.26,202.5,15.95,26.66,69.71,29.08
2017-04-09 22:00:00,14.29,203.6,15.25,27.18,69.57,29.07
2017-04-09 23:00:00,14.09,199.9,15.58,28.86,68.6,29.07
2017-04-10 00:00:00,13.77,201.2,15.45,31.32,68.13,29.08
2017-04-10 01:00:00,14.63,210.3,14.22,27.6,68.09,29.08
2017-04-10 02:00:00,14.81,210.6,14.09,28.13,68.11,29.09
2017-04-10 03:00:00,12.63,206.2,16.48,24.13,66.62,29.08
2017-04-10 04:00:00,14.75,212.6,12.2,26.59,66.25,29.08
2017-04-10 05:00:00,14.15,211.1,12.35,28.55,66.26,29.1
2017-04-10 06:00:00,12.54,215.4,14.89,24.69,65.76,29.14
2017-04-10 07:00:00,13.14,239.3,17.43,26.2,65.25,29.19
2017-04-10 08:00:00,12.78,225.6,23.37,25.99,64.19,29.22
2017-04-10 09:00:00,10.24,203.1,18.07,19.44,66.89,29.14
2017-04-10 10:00:00,11.18,207.9,15.44,23.57,74.05,29.15
2017-04-10 11:00:00,15.71,204.8,15.11,29.74,73.03,29.19
2017-04-10 12:00:00,14.96,191.0,15.96,29.21,72.09,29.2
2017-04-10 13:00:00,11.33,218.8,25.14,28.72,67.27,29.22
2017-04-10 14:00:00,9.96,208.2,17.88,21.75,69.62,29.22
2017-04-10 15:00:00,11.09,193.7,17.93,22.73,70.21,29.19
2017-04-10 16:00:00,14.92,199.2,17.65,32.09,67.09,29.18
2017-04-10 17:00:00,12.95,209.0,20.91,28.97,66.88,29.18
2017-04-10 18:00:00,11.17,211.5,20.52,26.97,67.43,29.2
2017-04-10 19:00:00,10.48,7.694,24.05,21.29,45.09,29.26
2017-04-10 20:00:00,7.98,17.82,18.38,15.79,44.03,29.29
2017-04-10 21:00:00,9.9,15.24,18.15,18.03,41.88,29.33
2017-04-10 22:00:00,7.332000000000001,0.41700000000000004,23.25,17.16,40.93,29.34
2017-04-10 23:00:00,7.972,17.61,18.19,14.56,40.71,29.35
2017-04-11 00:00:00,7.252999999999999,12.65,21.21,14.39,39.87,29.36
2017-04-11 01:00:00,5.7620000000000005,23.54,20.05,10.01,39.8,29.36
2017-04-11 02:00:00,4.793,15.99,23.24,10.39,40.15,29.38
2017-04-11 03:00:00,4.678,25.59,36.01,10.08,40.35,29.39
2017-04-11 04:00:00,2.459,75.35,44.96,5.452000000000001,40.55,29.41
2017-04-11 05:00:00,3.1180000000000003,120.6,22.34,6.5729999999999995,41.36,29.44
