,TIMESTAMP TS,RECORD RN,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
61,2017-04-03 13:00:00,1319,4.012,54.83,26.59,7.134,45.45,28.87,47.86,13.63
62,2017-04-03 14:00:00,1320,5.585,80.3,16.35,12.15,46.3,28.83,49.43,13.63
63,2017-04-03 15:00:00,1321,5.352,80.6,18.59,10.67,45.96,28.8,50.12,13.63
64,2017-04-03 16:00:00,1322,4.392,52.83,38.05,9.06,45.12,28.78,49.67,13.63
65,2017-04-03 17:00:00,1323,4.766,71.88,26.07,10.25,46.81,28.76,48.95,13.63
66,2017-04-03 18:00:00,1324,3.361,29.75,81.7,8.57,46.62,28.73,48.78,13.63
67,2017-04-03 19:00:00,1325,4.339,337.8,53.29,8.57,46.49,28.7,48.7,13.63
68,2017-04-03 20:00:00,1326,3.287,356.6,32.84,6.538,47,28.71,48.82,13.63
69,2017-04-03 21:00:00,1327,3.629,357.6,21.96,6.398,45.19,28.73,48.66,13.63
70,2017-04-03 22:00:00,1328,4.577,318.4,40.35,13.79,45.33,28.73,47.46,13.63
71,2017-04-03 23:00:00,1329,8.17,291.2,13.47,15.3,45.67,28.74,47.3,13.63
72,2017-04-04 00:00:00,1330,9.49,287.0,11.74,17.96,46.44,28.75,47.3,13.62
73,2017-04-04 01:00:00,1331,7.788,279.1,11.2,15.72,46.47,28.78,47.42,13.63
74,2017-04-04 02:00:00,1332,8.84,283.1,13.21,18.35,47.31,28.8,47.74,13.63
75,2017-04-04 03:00:00,1333,9.59,278.3,13.15,16.39,47.43,28.82,48.14,13.63
76,2017-04-04 04:00:00,1334,8.89,275.2,15.43,16.63,47.15,28.84,48.38,13.63
77,2017-04-04 05:00:00,1335,9.19,273.7,11.33,16.14,47.03,28.88,48.46,13.63
78,2017-04-04 06:00:00,1336,8.57,278.7,11.77,16.11,46.83,28.92,48.42,13.63
79,2017-04-04 07:00:00,1337,8.72,284.9,12.62,15.26,47.09,28.95,48.82,13.63
80,2017-04-04 08:00:00,1338,9.12,285.2,11.44,16.21,47.05,28.99,49.27,13.63
81,2017-04-04 09:00:00,1339,8.86,301.0,16.88,15.69,46.96,29.02,49.59,13.63
82,2017-04-04 10:00:00,1340,7.528,290.4,14.44,12.43,46.28,29.06,49.43,13.63
83,2017-04-04 11:00:00,1341,4.541,317.8,39.34,12.46,47.27,29.1,49.67,13.63
84,2017-04-04 12:00:00,1342,6.029,9.7,20.63,13.76,46.47,29.13,49.43,13.63
85,2017-04-04 13:00:00,1343,6.733,10.19,21.75,12.53,47.55,29.16,52.94,13.62
86,2017-04-04 14:00:00,1344,6.71,40.17,20.03,12.57,49.26,29.17,60.7,13.62
87,2017-04-04 15:00:00,1345,6.263,71.07,22.34,13.41,49.2,29.19,62.85,13.63
88,2017-04-04 16:00:00,1346,6.623,47.17,21.78,14.77,47.11,29.22,60.09,13.63
89,2017-04-04 17:00:00,1347,5.293,63.61,18.33,9.24,46.99,29.23,53.52,13.62
90,2017-04-04 18:00:00,1348,3.795,89.3,26.68,8.22,46.32,29.26,51.87,13.62
91,2017-04-04 19:00:00,1349,2.533,180.0,33.0,5.136,47.23,29.29,49.95,13.63
92,2017-04-04 20:00:00,1350,1.646,84.3,24.53,3.069,46.86,29.3,48.62,13.62
93,2017-04-04 21:00:00,1351,1.773,98.3,15.3,3.805,43.93,29.29,45.95,13.62
94,2017-04-04 22:00:00,1352,2.051,91.9,18.25,4.576,43.44,29.28,42.77,13.62
95,2017-04-04 23:00:00,1353,1.974,101.0,17.03,3.98,43.3,29.29,42.34,13.62
96,2017-04-05 00:00:00,1354,3.432,78.84,13.01,6.468,44.81,29.29,43.9,13.62
97,2017-04-05 01:00:00,1355,4.49,49.58,19.85,8.36,44.06,29.28,44.42,13.62
98,2017-04-05 02:00:00,1356,4.256,64.57,27.6,10.43,43.73,29.29,44.49,13.62
99,2017-04-05 03:00:00,1357,4.051,73.28,14.33,7.45,42.52,29.31,44.49,13.62
100,2017-04-05 04:00:00,1358,6.482,56.11,18.81,13.79,41.37,29.28,43.86,13.62
101,2017-04-05 05:00:00,1359,7.621,59.71,17.79,15.05,41.05,29.25,43.0,13.62
102,2017-04-05 06:00:00,1360,8.77,56.63,16.32,17.89,41.44,29.23,42.53,13.62
103,2017-04-05 07:00:00,1361,7.252,60.03,20.94,14.88,41.4,29.23,42.61,13.62
104,2017-04-05 08:00:00,1362,7.662,65.81,17.09,13.2,40.71,29.22,42.61,13.62
105,2017-04-05 09:00:00,1363,7.284,67.13,15.12,13.48,40.69,29.21,42.96,13.62
106,2017-04-05 10:00:00,1364,10.58,53.1,17.19,22.73,41.57,29.15,44.26,13.62
107,2017-04-05 11:00:00,1365,12.84,38.84,15.17,23.68,41.22,29.12,44.49,13.62
108,2017-04-05 12:00:00,1366,14.9,36.23,14.18,27.43,41.21,29.09,44.85,13.62
109,2017-04-05 13:00:00,1367,14.04,30.12,14.05,24.73,40.67,29.08,44.18,13.62
110,2017-04-05 14:00:00,1368,16.07,31.71,14.37,27.04,40.67,29.05,43.24,13.62
111,2017-04-05 15:00:00,1369,17.17,32.53,14.44,34.96,40.07,29.03,43.0,13.49
112,2017-04-05 16:00:00,1370,17.44,29.72,14.5,32.61,39.8,29.02,42.61,13.48
113,2017-04-05 17:00:00,1371,15.66,21.0,17.34,31.49,39.11,29.03,42.3,13.47
114,2017-04-05 18:00:00,1372,17.66,23.1,15.92,34.54,39.12,29.02,41.71,14.63
115,2017-04-05 19:00:00,1373,17.94,25.68,15.54,34.58,39.11,29.0,41.79,14.63
116,2017-04-05 20:00:00,1374,16.42,23.63,16.43,31.0,39.3,29.01,41.87,13.48
117,2017-04-05 21:00:00,1375,16.41,24.06,16.52,35.35,39.77,29.02,42.03,14.54
118,2017-04-05 22:00:00,1376,18.61,26.16,15.8,34.23,39.13,29.01,41.95,14.6
119,2017-04-05 23:00:00,1377,17.17,23.64,16.45,35.87,39.23,29.0,41.41,13.49
120,2017-04-06 00:00:00,1378,14.89,12.21,20.24,31.25,38.97,29.01,41.25,14.59
121,2017-04-06 01:00:00,1379,14.42,358.0,23.02,29.46,37.62,29.01,40.51,14.6
122,2017-04-06 02:00:00,1380,15.72,353.7,23.26,36.05,38.29,29.0,40.01,14.58
123,2017-04-06 03:00:00,1381,17.49,353.0,23.3,37.17,38.46,29.0,40.43,14.56
124,2017-04-06 04:00:00,1382,17.38,345.5,22.96,35.07,37.67,29.02,40.36,13.49
125,2017-04-06 05:00:00,1383,17.85,345.9,22.04,37.66,37.31,29.04,39.66,14.59
126,2017-04-06 06:00:00,1384,16.51,346.1,22.98,34.4,38.7,29.07,40.59,14.56
127,2017-04-06 07:00:00,1385,18.13,345.1,23.49,36.12,39.2,29.1,42.11,13.48
128,2017-04-06 08:00:00,1386,17.36,343.2,24.51,36.22,40.32,29.11,44.37,13.49
129,2017-04-06 09:00:00,1387,16.55,343.8,22.59,36.92,41.29,29.13,46.43,13.48
